objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,physical item location,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
roos_001,,Letter from Emmanuel Marx to Gretel,"Marx, Emmanuel",1936_11_19,"Emmanuel Marx wrote to Gretel Marx from the Ambassador Hotel in Los Angeles, to let her know that a friend of his, Mrs. Moss, would meet her at the dock when her ship arrived in New York in December 1936.  Emmanuel was Gretel's cousin, who was friend with George Raft and ran with a Hollywood crowd (as Gretel recalled it).  He helped her immigrate to Chicago.",Immigration,"Flonheim, Germany;Los Angeles CA;Chicago, IL",49.7845826,8.0409501,Gretel Marx Roos Archive,1936_11_19.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1936_11_19.pdf,/objects/small/1936_11_19_sm.jpg,/objects/thumbs/1936_11_19_th.jpg
roos_002,,Gretel with Camera,unknown,1936,"Gretel Marx behind camera on tripod, smiling at whoever is taking the photo of her.",,"Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa2_pg23b.jpg,photo album #2,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa2_pg23b.jpeg,/objects/small/pa2_pg23b_sm.jpg,/objects/thumbs/pa2_pg23b_th.jpg
roos_003,,,,,,,,,,Gretel Marx Roos Archive,1936_12_10.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1936_12_10.pdf,/objects/small/1936_12_10_sm.jpg,/objects/thumbs/1936_12_10_th.jpg
roos_004,,,,,,,,,,Gretel Marx Roos Archive,1936_12_30.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1936_12_30.pdf,/objects/small/1936_12_30_sm.jpg,/objects/thumbs/1936_12_30_th.jpg
roos_005,,,,,,,,,,Gretel Marx Roos Archive,1939_01_31.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_01_31.pdf,/objects/small/1939_01_31_sm.jpg,/objects/thumbs/1939_01_31_th.jpg
roos_006,,,,,,,,,,Gretel Marx Roos Archive,1939_02_10.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_02_10.pdf,/objects/small/1939_02_10_sm.jpg,/objects/thumbs/1939_02_10_th.jpg
roos_007,,Freight Receipt,Gretel Marx Roos,1939-1940,Receipt from shipment of goods to Sigmund Marx.  Not sure what was being shipped or for whom but the date coincides somewhat with his departure from Germany. His wife Elsa died in May 1939.,Immigration,"Chicago, IL",41.8781,-87.623177,Gretel Marx Roos Archive,1939_03_01.pdf,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_03_01.pdf,/objects/small/1939_03_01_sm.jpg,/objects/thumbs/1939_03_01_th.jpg
roos_008,,,,,,,,,,,,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_03_30.pdf,/objects/small/1939_03_30_sm.jpg,/objects/thumbs/1939_03_30_th.jpg
roos_009,,,,,,,,,,,,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_04_26.pdf,/objects/small/1939_04_26_sm.jpg,/objects/thumbs/1939_04_26_th.jpg
roos_010,,,,,,,,,,,,,Image;StillImage,application/pdf,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,/objects/1939_unknown.pdf,/objects/small/1939_unknown_sm.jpg,/objects/thumbs/1939_unknown_th.jpg
